City,Latitude,Lng,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed
Provideniya,64.38,-173.3,90,RU,1603225991,87,42.8,11.18
Tual,-5.67,132.75,100,ID,1603226005,83,80.31,15.21
Chui,-33.7,-53.46,100,UY,1603226007,84,55.06,15.28
Vaini,-21.2,-175.2,40,TO,1603226008,64,75.2,10.29
Ust-Nera,64.57,143.2,75,RU,1603226009,87,4.23,3.78
Kiryat Gat,31.61,34.76,0,IL,1603226010,100,78.01,1.01
Hong Kong,22.29,114.16,64,HK,1603225799,69,73.0,1.01
Kaitangata,-46.28,169.85,96,NZ,1603225936,63,50.02,3.49
Sumbe,-11.21,13.84,94,AO,1603226013,83,75.27,7.38
Villa Guerrero,18.87,-99.65,75,MX,1603226014,51,80.6,3.36
Barrow,71.29,-156.79,90,US,1603226015,79,26.6,10.29
Severo-Kuril'sk,50.68,156.12,79,RU,1603226016,69,41.22,24.29
Yagodnoye,62.55,149.67,0,RU,1603226017,86,8.19,2.68
Cherskiy,68.75,161.3,93,RU,1603225987,97,20.37,5.97
Hoi An,15.88,108.33,75,VN,1603225990,88,78.8,11.41
Kitsuki,33.42,131.62,21,JP,1603226020,70,61.66,7.2
Miranda,3.25,-76.23,75,CO,1603226022,48,86.0,10.29
Fort Myers Beach,26.45,-81.95,75,US,1603225850,74,84.0,10.29
Calama,-22.47,-68.93,0,CL,1603226026,8,77.0,26.4
Canberra,-35.28,149.13,90,AU,1603226014,93,57.0,1.12
Līsakovsk,52.54,62.49,95,KZ,1603226028,74,47.14,9.35
Francisco Beltrão,-26.08,-53.05,30,BR,1603226029,64,77.32,2.86
Butaritari,3.07,172.79,93,KI,1603226030,77,81.91,11.92
Hays,30.05,-98.03,97,US,1603226031,48,89.01,10.89
Pisco,-13.7,-76.22,3,PE,1603226032,77,68.0,9.17
New Norfolk,-42.78,147.06,99,AU,1603225941,71,52.0,1.92
Bluff,-46.6,168.33,67,NZ,1603226035,79,48.99,4.0
Tuktoyaktuk,69.45,-133.04,90,CA,1603225827,85,23.0,18.34
Azul,-36.78,-59.86,3,AR,1603226037,41,64.0,8.01
Avarua,-21.21,-159.78,36,CK,1603225790,88,77.0,5.82
Santa Cruz de la Sierra,-17.8,-63.17,40,BO,1603225800,46,93.2,17.22
Guerrero Negro,27.98,-114.06,1,MX,1603226041,55,80.1,14.09
Cairns,-16.92,145.77,72,AU,1603225881,83,71.6,1.12
Havre-St-Pierre,50.23,-63.6,90,CA,1603226044,100,44.6,6.93
Waitara,-38.92,174.25,100,NZ,1603226046,86,53.01,4.0
Rognedino,53.8,33.56,5,RU,1603226048,96,32.54,5.26
Bogovarovo,58.98,47.02,96,RU,1603226049,98,30.92,7.25
Karatau,43.17,70.47,0,KZ,1603226050,39,53.15,9.13
Moose Factory,51.26,-80.61,90,CA,1603226053,48,41.0,8.05
São Filipe,14.9,-24.5,100,CV,1603226054,59,84.54,6.71
Cabo San Lucas,22.89,-109.91,5,MX,1603225869,52,93.2,8.05
Airai,-8.93,125.41,95,TL,1603226056,78,59.81,1.9
Tuatapere,-46.13,167.68,16,NZ,1603226057,79,48.99,4.0
Sambava,-14.27,50.17,100,MG,1603226060,81,75.34,14.27
Tiksi,71.69,128.87,100,RU,1603226044,92,10.0,11.07
Iqaluit,63.75,-68.51,90,CA,1603225812,92,28.4,12.75
Shebunino,46.43,141.86,0,RU,1603226064,67,47.08,5.28
Sandwick,60.0,-1.25,100,GB,1603226065,93,48.2,25.28
Acapulco de Juárez,16.86,-99.89,75,MX,1603225824,74,86.0,6.93
Arraial do Cabo,-22.97,-42.03,0,BR,1603226067,73,77.0,18.34
Kargopol',61.51,38.95,52,RU,1603226068,96,31.14,10.45
Itarema,-2.92,-39.92,28,BR,1603226069,73,79.41,17.83
Hithadhoo,-0.6,73.08,97,MV,1603225993,80,82.15,14.03
Rawson,-43.3,-65.1,97,AR,1603225846,49,54.28,18.16
Souillac,-20.52,57.52,20,MU,1603226041,73,75.2,11.41
Amuntai,-2.42,115.25,98,ID,1603226074,88,73.42,1.21
Isangel,-19.55,169.27,75,VU,1603226075,88,71.6,10.29
Quang Ngai,15.12,108.8,100,VN,1603226076,90,76.62,9.95
Kavieng,-2.57,150.8,96,PG,1603226027,81,81.25,12.06
Hamilton,39.18,-84.53,90,US,1603226078,87,55.4,5.82
Bambous Virieux,-20.34,57.76,20,MU,1603226079,73,75.2,11.41
Saint Paul Harbor,57.79,-152.41,1,US,1603225938,49,46.4,14.99
Cockburn Town,21.46,-71.14,40,TC,1603225873,62,86.0,6.93
Verkhoyansk,67.54,133.38,90,RU,1603226082,90,8.74,3.53
Bubaque,11.28,-15.83,5,GW,1603226084,80,82.56,13.98
Hilo,19.73,-155.09,1,US,1603225948,54,84.2,11.41
Narsaq,60.92,-46.05,40,GL,1603225961,86,33.8,3.36
Chokurdakh,70.63,147.92,87,RU,1603226087,97,12.02,3.11
Meulaboh,4.14,96.13,54,ID,1603226088,85,76.87,4.59
Port Elizabeth,-33.92,25.57,0,ZA,1603226004,84,55.0,7.63
Sittwe,20.15,92.9,100,MM,1603225991,81,80.22,10.36
Binabalian Ricor,16.42,119.93,100,PH,1603226092,86,80.67,29.62
Sistranda,63.73,8.83,100,NO,1603226093,74,37.4,12.75
Auki,-8.77,160.7,100,SB,1603226094,80,81.0,5.08
Andenes,69.31,16.12,5,NO,1603226039,79,28.4,8.05
Cape Town,-33.93,18.42,0,ZA,1603226032,66,57.0,8.05
Deer Lake,49.17,-57.43,75,CA,1603226097,77,62.6,13.87
Tungor,53.38,142.96,10,RU,1603226099,88,29.82,9.33
Hasaki,35.73,140.83,20,JP,1603226100,93,51.8,8.05
Makakilo City,21.35,-158.09,40,US,1603225963,83,84.2,12.75
Houma,29.6,-90.72,40,US,1603226102,58,87.01,11.41
Ancud,-41.87,-73.82,0,CL,1603226067,50,53.6,11.41
Olafsvik,64.89,-23.71,100,IS,1603226105,86,42.44,15.28
Loučovice,48.62,14.26,100,CZ,1603226106,85,45.0,1.01
Shangqiu,34.45,115.65,100,CN,1603226107,67,56.68,8.59
Kumul,42.8,93.45,0,CN,1603226108,48,46.11,4.23
Kieta,-6.22,155.63,81,PG,1603226109,73,82.06,1.28
Saldanha,-33.01,17.94,0,ZA,1603226048,71,57.2,11.41
Baykit,61.67,96.37,96,RU,1603226111,95,22.48,1.05
Greifswald,54.1,13.38,100,DE,1603226113,89,48.0,1.01
Sarangani,5.4,125.46,100,PH,1603226114,75,82.99,8.25
Rome,43.21,-75.46,90,US,1603226046,87,51.8,3.36
Inírida,3.87,-67.92,100,CO,1603226116,67,88.32,1.03
Labytnangi,66.66,66.42,100,RU,1603225930,97,19.98,8.68
Idaho Falls,43.47,-112.03,1,US,1603226118,47,55.99,18.34
Kawalu,-7.38,108.21,91,ID,1603226119,91,72.77,1.74
Ţaga,46.95,24.05,0,RO,1603226079,86,41.0,2.24
Nanortalik,60.14,-45.24,98,GL,1603226022,87,37.02,6.62
Aksu,41.12,80.26,0,CN,1603226122,43,49.78,3.87
Plopii Slăviţeştí,43.97,24.68,5,RO,1603226123,81,44.6,4.7
Upata,8.01,-62.4,36,VE,1603226124,59,93.0,4.0
Novikovo,51.15,37.89,0,RU,1603226126,76,39.02,8.99
Cocorit,27.58,-109.97,5,MX,1603226128,22,98.6,3.36
Bay Saint Louis,30.31,-89.33,40,US,1603226129,62,84.2,12.75
Santo Antônio do Içá,-3.1,-67.94,52,BR,1603226130,54,90.99,2.06
Cooma,-36.23,149.13,90,AU,1603226131,100,46.4,10.29
Kavaratti,10.57,72.64,100,IN,1603226133,75,81.21,10.2
Matadi,-5.82,13.45,80,CD,1603226134,73,78.33,5.61
Wagar,16.15,36.2,0,SD,1603226135,44,81.45,12.75
Esperance,-33.87,121.9,90,AU,1603226031,100,57.2,9.17
São João da Barra,-21.64,-41.05,75,BR,1603226137,73,77.0,16.11
Totness,5.88,-56.32,72,SR,1603226138,77,83.03,14.27
Havøysund,71.0,24.66,75,NO,1603226139,77,35.6,4.7
Kamaishi,39.27,141.88,3,JP,1603226140,70,52.27,4.99
Nishihara,26.18,127.76,75,JP,1603226142,74,80.6,16.11
Mosetse,-20.75,26.65,0,BW,1603226143,15,82.85,15.3
Tutóia,-2.76,-42.27,52,BR,1603226144,76,80.47,14.9
Krosno,49.69,21.77,64,PL,1603226145,78,46.0,5.01
Faanui,-16.48,-151.75,26,PF,1603226146,81,78.87,16.15
Khasan,42.43,130.64,100,RU,1603226147,84,53.37,5.12
Saint Anthony,45.02,-93.22,90,US,1603226148,92,32.0,5.82
Bandundu Province,-3.32,17.37,99,CD,1603226150,97,72.7,2.73
Leningradskiy,69.38,178.42,100,RU,1603226151,85,34.45,9.4
Celestún,20.87,-90.4,3,MX,1603226152,74,83.26,14.41
Vilhena,-12.74,-60.15,87,BR,1603226153,50,81.73,2.59
Kruisfontein,-34.0,24.73,0,ZA,1603226154,84,55.0,5.26
Madang,-5.22,145.8,100,PG,1603226155,87,75.87,5.7
Cayenne,4.93,-52.33,99,GF,1603226056,62,87.8,11.41
Ocampo,21.65,-101.5,0,MX,1603226157,27,72.43,8.86
Bandarbeyla,9.49,50.81,0,SO,1603226158,72,78.96,5.91
Northam,51.03,-4.22,100,GB,1603226159,93,57.99,5.99
Lavrentiya,65.58,-171.0,100,RU,1603226160,94,37.51,12.91
Upernavik,72.79,-56.15,100,GL,1603226162,85,33.98,3.44
Puerto del Rosario,28.5,-13.86,20,ES,1603226164,78,75.2,6.93
Dikson,73.51,80.55,98,RU,1603225986,97,21.76,4.76
Qaqortoq,60.72,-46.03,40,GL,1603226166,86,33.8,3.36
Salalah,17.02,54.09,70,OM,1603226167,51,80.6,2.24
Gamba,-2.65,10.0,100,GA,1603226169,88,76.69,6.29
Yacuiba,-22.04,-63.68,44,BO,1603226170,35,90.32,5.3
Longyearbyen,78.22,15.64,8,SJ,1603226046,73,23.0,1.12
Port Lincoln,-34.73,135.87,12,AU,1603226046,85,57.45,11.45
San Quintín,30.48,-115.95,0,MX,1603226173,68,73.76,16.2
Oktyabr'skoye,43.06,44.74,100,RU,1603226174,87,51.8,4.47
Black Diamond,47.31,-122.0,88,US,1603226175,79,59.0,3.67
Nhulunbuy,-12.23,136.77,0,AU,1603226176,88,73.4,3.36
Ahipara,-35.17,173.17,100,NZ,1603226177,62,64.33,5.28
Monrovia,6.3,-10.8,75,LR,1603226178,94,78.8,7.16
Lebu,-37.62,-73.65,0,CL,1603225947,67,52.52,19.69
Banepā,27.63,85.52,20,NP,1603226181,88,62.6,3.36
East London,-33.02,27.91,9,ZA,1603225942,67,61.39,10.38
Kichmengskiy Gorodok,59.98,45.79,100,RU,1603226183,96,30.85,9.46
Bay Roberts,47.6,-53.26,96,CA,1603226184,92,57.0,11.01
Río Gallegos,-51.62,-69.22,100,AR,1603226185,32,53.6,6.93
Pokhara,28.23,83.98,28,NP,1603226186,68,64.9,4.16
Berlevåg,70.86,29.09,75,NO,1603226000,80,33.8,3.36
Bathsheba,13.22,-59.52,20,BB,1603226189,66,87.8,11.41
Mar del Plata,-38.0,-57.56,22,AR,1603226190,50,55.4,8.05
Teya,60.38,92.63,98,RU,1603226191,97,29.21,2.08
Yellowknife,62.46,-114.35,75,CA,1603226192,73,28.99,9.17
Sinnamary,5.38,-52.95,100,GF,1603226193,72,82.27,13.67
Batagay,67.63,134.63,94,RU,1603226195,93,7.57,3.76
Morant Bay,17.88,-76.41,20,JM,1603226196,62,87.8,19.46
Indramayu,-6.33,108.32,97,ID,1603226197,73,82.38,4.21
Aklavik,68.22,-135.01,90,CA,1603225980,85,23.0,19.46
Lac du Bonnet,50.25,-96.06,100,CA,1603226201,98,36.0,5.99
Humaitá,-7.51,-63.02,92,BR,1603226203,52,90.63,1.12
Mocuba,-16.84,36.99,80,MZ,1603226204,58,79.45,6.17
Margate,51.38,1.39,100,GB,1603226205,86,59.0,3.0
Malabo,3.75,8.78,20,GQ,1603226206,100,75.2,3.36
Dudinka,69.41,86.18,90,RU,1603225928,92,5.0,2.24
Saint-Joseph,-21.37,55.62,18,RE,1603226208,73,71.6,6.93
Khonsa,27.02,95.57,28,IN,1603226209,96,64.65,4.0
Bolton,53.58,-2.43,24,GB,1603226127,87,57.0,3.0
Saint-Pierre,-21.34,55.48,22,RE,1603226212,73,71.6,6.93
Mehrān,33.12,46.16,0,IR,1603226214,20,57.2,4.7
Nipawin,53.37,-104.0,1,CA,1603226215,73,32.0,5.82
Denpasar,-8.65,115.22,20,ID,1603226133,100,78.8,2.24
Ostrovnoy,68.05,39.51,100,RU,1603226218,78,37.85,15.55
Richards Bay,-28.78,32.04,99,ZA,1603226220,72,68.47,15.17
Castro,-24.79,-50.01,58,BR,1603225972,77,70.23,0.47
Tazmalt,36.39,4.4,0,DZ,1603226226,55,64.4,10.29
Chlórakas,34.8,32.41,20,CY,1603226227,64,71.6,5.82
Beloha,-25.17,45.05,0,MG,1603226228,86,66.33,1.79
Iquitos,-3.75,-73.25,20,PE,1603226070,59,91.4,6.93
Nelson Bay,-32.72,152.15,0,AU,1603226035,82,64.0,6.93
Port Hardy,50.7,-127.42,75,CA,1603225986,87,50.0,2.24
Port Hedland,-20.32,118.57,85,AU,1603226233,94,69.8,8.05
Mandera,3.94,41.87,21,KE,1603226235,44,87.76,12.24
Norman Wells,65.28,-126.83,75,CA,1603225950,85,21.2,13.87
Petropavlovsk-Kamchatskiy,53.05,158.65,0,RU,1603226026,79,24.8,6.71
Cap Malheureux,-19.98,57.61,1,MU,1603226238,71,75.0,5.99
Emerald,-23.53,148.17,75,AU,1603226239,88,69.8,6.93
Snezhnogorsk,69.19,33.25,75,RU,1603226240,100,30.2,2.24
Muravlenko,63.79,74.52,100,RU,1603226241,98,25.92,7.49
Nome,64.5,-165.41,75,US,1603226182,86,33.8,6.93
Broome,42.25,-75.83,90,US,1603226243,93,55.0,9.17
Nikol'sk,53.72,46.07,18,RU,1603226244,90,34.36,10.63
Songyuan,45.12,124.86,100,CN,1603226245,54,57.47,22.53
Anaconda,46.13,-112.94,40,US,1603225990,36,46.4,11.41
Mahibadhoo,3.78,72.97,100,MV,1603226248,78,82.51,13.67
Kargasok,59.06,80.86,100,RU,1603226249,96,36.93,9.15
Lüderitz,-26.65,15.16,0,NA,1603226253,41,66.6,26.62
Tahoua,14.89,5.27,0,NE,1603226254,12,91.09,8.43
Mount Isa,-20.73,139.5,90,AU,1603226255,26,78.8,11.27
Kindu,-2.95,25.95,88,CD,1603226065,98,69.46,2.1
Morondava,-20.28,44.28,0,MG,1603226257,59,78.1,16.6
Gumlā,23.05,84.55,39,IN,1603226259,72,67.57,4.34
Srikakulam,18.3,83.9,100,IN,1603226260,86,78.22,6.08
Forsytheganj,52.63,29.73,99,BY,1603226261,86,39.51,4.54
Yinchuan,38.47,106.27,0,CN,1603226262,43,44.06,4.88
Garchitorena,13.88,123.69,100,PH,1603226263,84,79.34,7.52
Sarakhs,36.54,61.16,0,IR,1603226264,32,55.4,2.24
Najrān,17.49,44.13,0,SA,1603226265,33,71.6,4.7
Puerto Escondido,15.85,-97.07,100,MX,1603226266,66,85.44,4.9
Hobyo,5.35,48.53,0,SO,1603226079,81,80.1,18.86
Katsuura,35.13,140.3,20,JP,1603226269,77,59.0,14.99
Hambantota,6.12,81.12,47,LK,1603226270,83,78.94,16.49
Trairi,-3.28,-39.27,46,BR,1603226271,70,79.52,12.21
Klaksvík,62.23,-6.59,25,FO,1603226273,75,41.0,9.17
Kysyl-Syr,63.9,122.76,100,RU,1603226274,98,20.95,3.58
Yangjiang,21.85,111.97,34,CN,1603226275,82,66.51,7.45
Nikologory,56.14,41.99,19,RU,1603226276,96,32.45,9.24
Yatou,37.15,122.38,100,CN,1603226278,70,60.87,9.69
Saint George,37.1,-113.58,1,US,1603226184,12,82.99,2.75
Thompson,55.74,-97.86,90,CA,1603226281,68,30.2,3.36
Tonj,7.27,28.68,9,SS,1603226283,92,72.1,4.43
Cap-aux-Meules,47.38,-61.86,90,CA,1603225993,100,57.2,12.75
Victor Harbor,-35.57,138.62,89,AU,1603226287,85,55.99,5.26
Vardø,70.37,31.11,75,NO,1603226288,73,32.0,5.82
Honiara,-9.43,159.95,40,SB,1603226289,94,75.2,4.7
Vredendal,-31.67,18.5,0,ZA,1603226292,63,56.77,9.13
Pevek,69.7,170.31,100,RU,1603226250,95,30.51,18.05
Dali,25.7,100.18,99,CN,1603226295,90,56.3,4.18
Dunedin,-45.87,170.5,100,NZ,1603226296,90,46.99,5.99
Humberto de Campos,-2.6,-43.46,72,BR,1603226297,69,80.71,9.42
Ploemeur,47.73,-3.43,75,FR,1603226298,93,60.01,10.29
Ilula,-7.68,36.04,5,TZ,1603226299,64,68.0,6.15
Khuzdar,27.74,66.64,0,PK,1603226300,26,57.34,4.83
San Francisco del Mar Viejo,16.23,-94.65,98,MX,1603226301,57,88.83,17.65
Banyo,6.75,11.82,19,CM,1603226302,80,66.43,4.05
Weligama,5.97,80.42,12,LK,1603226305,88,78.26,9.93
Nioro,13.35,-15.75,71,GM,1603226307,53,82.06,6.15
Podor,16.65,-14.96,7,MR,1603226308,15,96.03,9.93
Ucluelet,48.93,-125.55,75,CA,1603226309,87,54.0,6.93
Goya,-29.14,-59.26,27,AR,1603226310,70,79.29,16.33
Christchurch,-43.53,172.63,61,NZ,1603226311,76,57.0,6.93
Itamarandiba,-17.86,-42.86,100,BR,1603226312,97,61.41,3.33
Marfino,55.7,37.38,75,RU,1603226313,86,36.0,11.18
Kayes,14.0,-11.0,26,ML,1603226314,20,86.99,4.45
Jasper,37.2,-94.35,90,US,1603226315,93,62.6,10.29
Espumoso,-28.72,-52.85,26,BR,1603226316,63,79.41,9.26
San Lorenzo,-25.33,-57.53,75,PY,1603226317,46,89.6,4.7
Cabedelo,-6.98,-34.83,20,BR,1603226319,69,80.6,12.75
Constitución,-35.33,-72.42,0,CL,1603226321,61,59.29,18.86
Xining,36.62,101.77,0,CN,1603226322,68,36.0,1.48
Brae,60.4,-1.35,100,GB,1603226323,93,48.2,25.28
Nabire,-3.37,135.48,100,ID,1603226325,93,74.97,5.73
Rognan,67.1,15.39,37,NO,1603226326,67,36.0,11.99
Nīlēshwar,12.25,75.1,75,IN,1603226327,94,77.0,1.12
Beira,-19.84,34.84,20,MZ,1603226039,88,77.0,14.99
Huicheng,23.04,116.29,65,CN,1603226330,68,71.6,4.47
Ugoofaaru,5.67,73.0,99,MV,1603226331,81,81.59,13.0
Liyang,29.71,118.29,100,CN,1603226332,91,58.75,0.4
San Cristobal,7.77,-72.22,40,VE,1603226333,58,86.0,13.87
North Bend,43.41,-124.22,1,US,1603226335,68,73.0,4.7
Øksfjord,70.24,22.35,75,NO,1603226337,86,30.2,6.93
Tura,25.52,90.22,0,IN,1603226338,92,72.07,2.89
Shache,38.42,77.24,0,CN,1603226339,69,39.92,0.18
Rawlins,41.79,-107.24,1,US,1603226340,30,57.99,27.51
Shakawe,-18.37,21.85,0,BW,1603226341,18,75.51,1.86
Gorin,51.2,136.67,98,RU,1603226343,94,31.26,5.61
Bandar,2.05,99.75,74,ID,1603226344,92,73.2,2.3
Gallup,35.53,-108.74,1,US,1603226345,8,77.0,5.82
Shimoda,34.67,138.95,9,JP,1603226346,81,55.0,5.01
Campbellton,48.01,-66.67,100,CA,1603226347,88,52.59,10.8
Ranau,5.95,116.66,20,MY,1603226348,88,75.2,4.7
Jieshi,22.81,115.83,82,CN,1603226349,79,68.11,14.18
Şuraabad,40.82,49.47,100,AZ,1603226350,87,57.2,13.87
Jiayuguan City,39.82,98.3,0,CN,1603226352,55,40.78,2.35
Kandé,9.96,1.04,71,TG,1603226353,76,75.83,6.67
Gambēla,8.25,34.58,81,ET,1603226354,81,73.02,3.58
Arauca,7.08,-70.76,48,CO,1603226355,76,87.26,2.35
Radviliškis,55.82,23.53,100,LT,1603226356,87,42.8,10.29
Beisfjord,68.38,17.6,56,NO,1603226357,86,28.4,14.99
Dhārchula,29.85,80.53,0,IN,1603226359,48,56.44,3.78
Greymouth,-42.47,171.2,31,NZ,1603226246,62,54.48,1.1
Arlit,18.74,7.39,0,NE,1603226362,11,90.27,7.74
Ossora,59.24,163.07,100,RU,1603226364,87,35.47,10.49
Prado,-17.34,-39.22,83,BR,1603226365,91,73.99,3.24
Coos Bay,43.37,-124.22,1,US,1603226366,68,73.0,4.7
Balabac,7.99,117.06,100,PH,1603226367,82,80.85,11.16
Linxia Chengguanzhen,35.6,103.21,0,CN,1603226368,66,39.97,1.99
Ambulu,-8.35,113.61,2,ID,1603226369,84,75.7,4.45
Ineu,46.43,21.85,13,RO,1603226370,81,44.6,5.82
Taoudenni,22.68,-3.98,0,ML,1603226371,17,82.56,9.24
Elko,41.0,-115.5,0,US,1603226373,26,73.0,13.0
Coyhaique,-45.58,-72.07,75,CL,1603226334,41,57.2,10.29
Juneau,58.3,-134.42,75,US,1603226283,86,39.99,4.7
Pacific Grove,36.62,-121.92,1,US,1603226331,72,78.01,4.7
Benito Juarez,19.39,-99.17,40,MX,1603226377,25,75.2,9.17
Makīnsk,52.63,70.42,57,KZ,1603226379,59,44.94,9.31
Egvekinot,66.32,-179.17,100,RU,1603226380,100,34.14,7.36
Hoddesdon,51.76,-0.01,100,GB,1603226381,93,59.0,10.29
Belz,47.68,-3.17,100,FR,1603226382,84,60.01,4.0
Neos Marmaras,40.1,23.78,13,GR,1603226383,79,59.0,17.05
Santiago,-33.46,-70.65,0,CL,1603226213,23,82.4,9.17
Thinadhoo,0.53,72.93,95,MV,1603226385,77,82.47,13.0
Amapá,1.0,-52.0,77,BR,1603226386,37,90.03,3.87
Galesong,-5.32,119.37,20,ID,1603226337,94,73.4,3.36
Daru,-9.08,143.21,100,PG,1603226381,82,79.23,9.37
Brasília de Minas,-16.21,-44.43,99,BR,1603226391,91,67.87,10.96
Vidim,56.41,103.11,99,RU,1603226392,97,28.26,5.26
Kalangala,-0.31,32.23,20,UG,1603226393,78,73.4,5.82
Makushino,55.21,67.24,100,RU,1603226313,83,45.59,9.44
Necochea,-38.55,-58.74,80,AR,1603226396,73,55.0,10.0
San Miguel de Tucumán,-26.82,-65.22,90,AR,1603226239,93,62.6,6.93
Mārāndahalli,12.4,78.0,100,IN,1603226398,91,71.24,6.22
Sabang,5.89,95.32,91,ID,1603226399,77,82.36,15.3
Malé,4.17,73.51,81,MV,1603226401,80,82.2,11.54
Atar,20.52,-13.05,0,MR,1603226402,22,90.0,7.43
Ambatofinandrahana,-20.55,46.8,5,MG,1603226403,85,60.4,3.44
Walvis Bay,-22.96,14.51,0,NA,1603226404,76,57.99,1.12
